"site","cid","burnt","N","juv","mat","scale","heterogen"
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_5",45.5266075134277
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_6",24.0892753601074
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_7",10.8964529037476
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_8",3.69050073623657
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_9",1.11025500297546
"DuncanSaddle",967,0,NA,NA,NA,"Scale_1",4673.93798828125
"DuncanSaddle",967,0,NA,NA,NA,"Scale_2",6579.76708984375
"DuncanSaddle",967,0,NA,NA,NA,"Scale_3",8497.0390625
"DuncanSaddle",967,0,NA,NA,NA,"Scale_4",6195.30419921875
"DuncanSaddle",967,0,NA,NA,NA,"Scale_5",3450.43481445312
"DuncanSaddle",967,0,NA,NA,NA,"Scale_6",1724.11303710938
"DuncanSaddle",967,0,NA,NA,NA,"Scale_7",828.640747070312
"DuncanSaddle",967,0,NA,NA,NA,"Scale_8",367.934509277344
"DuncanSaddle",967,0,NA,NA,NA,"Scale_9",135.32746887207
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_1",91.5614395141602
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_2",25.1058216094971
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_3",76.2708969116211
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_4",66.0684585571289
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_5",43.8052711486816
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_6",21.7940845489502
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_7",9.15830135345459
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_8",3.08533978462219
"DuncanSaddle",2546,1,NA,NA,NA,"Scale_9",0.98814332485199
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_1",448.7333984375
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_2",1143.68566894531
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_3",1881.49731445312
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_4",1451.60925292969
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_5",708.285888671875
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_6",289.808959960938
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_7",139.222595214844
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_8",49.225700378418
"DuncanSaddle",1980,1,NA,NA,NA,"Scale_9",17.3657646179199
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_1",350.735504150391
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_2",842.995849609375
