"cid","site","rugosity"
478,"InitialPointBurn",0.421415412950543
471,"InitialPointBurn",0.0558905219342291
216,"InitialPointBurn",0.1326139161584
375,"InitialPointBurn",0.305000147979377
66,"InitialPointBurn",0.250855623670742
45,"InitialPointBurn",0.211549877058915
112,"InitialPointBurn",0.0868158813500355
148,"InitialPointBurn",0.0501333988724606
279,"InitialPointBurn",0.137780362000084
315,"InitialPointBurn",0.341238696752876
143,"InitialPointBurn",0.426524116850559
227,"InitialPointBurn",0.437486176502516
455,"InitialPointBurn",0.241412855877606
190,"InitialPointBurn",0.110001889326222
49,"InitialPointBurn",0.118181986462853
433,"InitialPointBurn",0.302135758605751
158,"InitialPointBurn",0.0439194310080389
54,"InitialPointBurn",0.0468223789053571
268,"InitialPointBurn",0.034785281775096
464,"InitialPointBurn",0.0933387983430158
438,"InitialPointBurn",0.0551966021905897
184,"InitialPointBurn",0.0345081567391397
248,"InitialPointBurn",0.126070682555594
124,"InitialPointBurn",0.0872954321702799
28,"InitialPointBurn",0.059323134100416
485,"InitialPointBurn",0.319798972570242
273,"InitialPointBurn",0.0289997665759261
137,"InitialPointBurn",0.144483454718472
380,"InitialPointBurn",0.251361114834148
13,"InitialPointBurn",0.15091953796731
63,"InitialPointBurn",0.0903529111259757
233,"InitialPointBurn",0.0973594890571758
361,"InitialPointBurn",0.0426551281886639
224,"InitialPointBurn",0.169068946645926
291,"InitialPointBurn",0.0365583165973597
173,"InitialPointBurn",0.339003118872344
424,"InitialPointBurn",0.456135099280667
294,"InitialPointBurn",0.0515966098699994
400,"InitialPointBurn",0.410356588958659
298,"InitialPointBurn",0.0170987657571352
430,"InitialPointBurn",0.393565692387677
387,"InitialPointBurn",0.0259294494829849
330,"InitialPointBurn",0.0557747730850783
23,"InitialPointBurn",0.0556176328878307
58,"InitialPointBurn",0.42267071081714
104,"InitialPointBurn",0.247018538949101
421,"InitialPointBurn",0.416600145820695
252,"InitialPointBurn",0.48412221578937
384,"InitialPointBurn",0.207179455088768
490,"InitialPointBurn",0.398569519856871
80,"InitialPointBurn",0.158421219553465
3,"InitialPointBurn",0.421419354657105
340,"InitialPointBurn",0.498571848392056
19,"InitialPointBurn",0.232673176484223
503,"InitialPointBurn",0.0166181791405691
345,"InitialPointBurn",0.350848566555112
113,"InitialPointBurn",0.343713521873543
285,"InitialPointBurn",0.428976043966319
336,"InitialPointBurn",0.0899816001970776
