"site","scale","res","chm.res"
"PonyComplex1",3,2.38961806502969,0.0186688911330379
"PonyComplex1",4,1.19480903251485,0.0186688911330379
"PonyComplex1",5,0.597404516257423,0.0186688911330379
"PonyComplex1",6,0.298702258128712,0.0186688911330379
"PonyComplex1",7,0.149351129064356,0.0186688911330379
"PonyComplex1",8,0.0746755645321779,0.0186688911330379
"PonyComplex1",9,0.037337782266089,0.0186688911330379
"PonyComplex2",1,9.49906941584049,0.0185528699528138
"PonyComplex2",2,4.74953470792025,0.0185528699528138
"PonyComplex2",3,2.37476735396012,0.0185528699528138
"PonyComplex2",4,1.18738367698006,0.0185528699528138
"PonyComplex2",5,0.593691838490031,0.0185528699528138
"PonyComplex2",6,0.296845919245015,0.0185528699528138
"PonyComplex2",7,0.148422959622508,0.0185528699528138
"PonyComplex2",8,0.0742114798112539,0.0185528699528138
"PonyComplex2",9,0.0371057399056269,0.0185528699528138
"SodaNaturalArea1",1,9.8142502341254,0.0191684574885298
"SodaNaturalArea1",2,4.9071251170627,0.0191684574885298
"SodaNaturalArea1",3,2.45356255853135,0.0191684574885298
"SodaNaturalArea1",4,1.22678127926568,0.0191684574885298
"SodaNaturalArea1",5,0.613390639632838,0.0191684574885298
"SodaNaturalArea1",6,0.306695319816419,0.0191684574885298
"SodaNaturalArea1",7,0.153347659908209,0.0191684574885298
"SodaNaturalArea1",8,0.0766738299541047,0.0191684574885298
"SodaNaturalArea1",9,0.0383369149770524,0.0191684574885298
"SodaNaturalArea2",1,9.79081347297179,0.0191226825643964
"SodaNaturalArea2",2,4.89540673648589,0.0191226825643964
"SodaNaturalArea2",3,2.44770336824295,0.0191226825643964
"SodaNaturalArea2",4,1.22385168412147,0.0191226825643964
"SodaNaturalArea2",5,0.611925842060737,0.0191226825643964
"SodaNaturalArea2",6,0.305962921030368,0.0191226825643964
"SodaNaturalArea2",7,0.152981460515184,0.0191226825643964
"SodaNaturalArea2",8,0.0764907302575921,0.0191226825643964
"SodaNaturalArea2",9,0.038245365128796,0.0191226825643964
"SouthTrail",1,9.05710005573201,0.0176896485463506
"SouthTrail",2,4.528550027866,0.0176896485463506
"SouthTrail",3,2.264275013933,0.0176896485463506
"SouthTrail",4,1.1321375069665,0.0176896485463506
"SouthTrail",5,0.56606875348325,0.0176896485463506
"SouthTrail",6,0.283034376741625,0.0176896485463506
"SouthTrail",7,0.141517188370813,0.0176896485463506
"SouthTrail",8,0.0707585941854063,0.0176896485463506
"SouthTrail",9,0.0353792970927032,0.0176896485463506
